political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,Absentee Voting Votes,Early Voting Votes,early_votes,election_votes
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 4,No,0,1,1,1
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 5,Yes,9,62,71,54
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 5,No,0,2,2,4
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 6,Yes,9,61,70,53
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 6,No,0,4,4,3
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 7,Yes,9,63,72,57
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 7,No,0,2,2,0
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 8,Yes,9,62,71,55
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 8,No,0,1,1,0
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 9,Yes,9,59,68,57
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 9,No,0,6,6,0
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 10,Yes,9,59,68,52
Wheeler County,3/3/2020,Primary ,,,1 - REP,234,Proposition 10,No,0,5,5,3
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,President,Zoltan G. Istvan,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,President,Matthew John Matern,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,President,Donald J. Trump,5,155,160,122
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,President,Bill Weld,0,0,0,1
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,President,Bob Ely,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,President,Joe Walsh,0,1,1,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,President,"Roque ""Rocky"" De La Fuente Guerra",0,0,0,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,President,Uncommitted,0,2,2,2
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,United States Senator,Virgil Bierschwale,0,1,1,3
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,United States Senator,John Anthony Castro,0,7,7,4
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,United States Senator,Mark Yancey,2,13,15,8
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,United States Senator,Dwayne Stovall,0,25,25,19
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,United States Senator,John Cornyn,3,83,86,72
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Matt McArthur,0,2,2,1
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Josh Winegarner,5,72,77,51
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Chris Ekstrom,0,13,13,10
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Vance Snider II,0,27,27,28
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Monique Worthy,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Mark Neese,0,2,2,1
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Asusena Reséndiz,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Ronny Jackson,0,17,17,15
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Diane Knowlton,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Richard Herman,0,1,1,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Lee Harvey,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13","Catherine ""I SWEAR"" Carr",0,0,0,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Jamie Culley,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Elaine Hays,0,11,11,7
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"United States Representative, District No. 13",Jason Foglesong,0,1,1,0
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Railroad Commissioner,"James ""Jim"" Wright",4,87,91,66
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Railroad Commissioner,Ryan Sitton,1,25,26,30
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Chief Justice, Supreme Court",Nathan Hecht,5,112,117,93
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Justice, Supreme Court, Place 6 -  Unexpired Term",Jane Bland,5,110,115,93
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Justice, Supreme Court, Place 7",Jeff Boyd,5,111,116,90
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Justice, Supreme Court, Place 8",Brett Busby,5,108,113,91
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Judge, Court of Criminal Appeals, Place 3",Gina Parker,1,44,45,39
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson,4,64,68,54
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary,5,105,110,91
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Judge, Court of Criminal Appeals, Place 9",David Newell,5,106,111,91
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Member, State Board of Education, District 15",Jay Johnson,5,107,112,93
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"State Representative, District 68",Drew Springer,5,118,123,100
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Chief Justice, 7th Court of Appeals District",Brian Quinn,5,103,108,91
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Justice, 7th Court of Appeals District, Place 4",Steven Denny,3,48,51,44
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Justice, 7th Court of Appeals District, Place 4",Larry Doss,2,58,60,48
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"District Attorney, 31st Judicial District",Franklin McDonough,5,101,106,89
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,County Attorney,Misty L. Walker,1,51,52,55
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,County Attorney,Leslie Standerfer,3,106,109,67
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Sheriff,John Hankins,4,75,79,65
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Sheriff,Billy Dean Doss,1,9,10,7
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Sheriff,Larry Z. Ashurst,0,15,15,13
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Sheriff,Johnny Carter,0,47,47,36
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Sheriff,G. W. Barrett,0,10,10,3
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,County Tax Assessor-Collector,Cindy L. Brown,5,150,155,119
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"County Commissioner, Precinct 1",Jackie Don May Jr,0,94,94,83
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"County Commissioner, Precinct 1",Steve Walker,3,41,44,37
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"County Commissioner, Precinct 1",Larry Erwin,2,21,23,3
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,"Constable, Precinct No. 1",Mack Marshall,5,146,151,117
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,County Chairman,Elizabeth McDowell,5,131,136,107
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 1,Yes,5,137,142,101
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 1,No,0,17,17,22
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 2,Yes,5,130,135,97
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 2,No,0,22,22,25
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 3,Yes,5,132,137,103
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 3,No,0,16,16,14
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 4,Yes,5,148,153,110
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 4,No,0,2,2,7
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 5,Yes,5,134,139,101
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 5,No,0,14,14,15
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 6,Yes,5,136,141,109
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 6,No,0,12,12,8
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 7,Yes,5,150,155,118
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 7,No,0,3,3,1
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 8,Yes,5,147,152,111
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 8,No,0,0,0,3
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 9,Yes,5,143,148,105
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 9,No,0,5,5,11
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 10,Yes,5,141,146,110
Wheeler County,3/3/2020,Primary ,,,2 - REP,530,Proposition 10,No,0,6,6,5
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,President,Zoltan G. Istvan,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,President,Matthew John Matern,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,President,Donald J. Trump,1,114,115,123
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,President,Bill Weld,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,President,Bob Ely,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,President,Joe Walsh,0,1,1,2
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,President,"Roque ""Rocky"" De La Fuente Guerra",0,1,1,0
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,President,Uncommitted,0,5,5,3
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,United States Senator,Virgil Bierschwale,0,2,2,4
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,United States Senator,John Anthony Castro,0,7,7,11
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,United States Senator,Mark Yancey,0,12,12,4
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,United States Senator,Dwayne Stovall,0,18,18,15
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,United States Senator,John Cornyn,1,70,71,77
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Matt McArthur,0,8,8,7
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Josh Winegarner,0,49,49,58
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Chris Ekstrom,0,16,16,14
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Vance Snider II,0,14,14,12
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Monique Worthy,0,1,1,1
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Mark Neese,0,1,1,3
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Asusena Reséndiz,0,1,1,2
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Ronny Jackson,0,6,6,6
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Diane Knowlton,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Richard Herman,0,1,1,2
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Lee Harvey,0,3,3,0
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13","Catherine ""I SWEAR"" Carr",0,0,0,2
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Jamie Culley,0,0,0,1
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Elaine Hays,1,10,11,13
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"United States Representative, District No. 13",Jason Foglesong,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Railroad Commissioner,"James ""Jim"" Wright",0,68,68,72
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Railroad Commissioner,Ryan Sitton,0,26,26,33
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Chief Justice, Supreme Court",Nathan Hecht,1,88,89,97
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Justice, Supreme Court, Place 6 -  Unexpired Term",Jane Bland,0,86,86,94
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Justice, Supreme Court, Place 7",Jeff Boyd,0,86,86,94
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Justice, Supreme Court, Place 8",Brett Busby,0,86,86,93
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Judge, Court of Criminal Appeals, Place 3",Gina Parker,0,45,45,45
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson,0,48,48,53
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary,0,81,81,90
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Judge, Court of Criminal Appeals, Place 9",David Newell,0,81,81,91
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Member, State Board of Education, District 15",Jay Johnson,0,82,82,89
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"State Representative, District 68",Drew Springer,1,81,82,95
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Chief Justice, 7th Court of Appeals District",Brian Quinn,1,78,79,90
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Justice, 7th Court of Appeals District, Place 4",Steven Denny,0,30,30,49
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Justice, 7th Court of Appeals District, Place 4",Larry Doss,0,58,58,47
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"District Attorney, 31st Judicial District",Franklin McDonough,1,77,78,87
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,County Attorney,Misty L. Walker,0,44,44,59
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,County Attorney,Leslie Standerfer,1,76,77,66
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Sheriff,John Hankins,0,50,50,61
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Sheriff,Billy Dean Doss,0,4,4,4
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Sheriff,Larry Z. Ashurst,0,12,12,13
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Sheriff,Johnny Carter,1,42,43,41
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Sheriff,G. W. Barrett,0,13,13,9
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,County Tax Assessor-Collector,Cindy L. Brown,1,118,119,127
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,"Constable, Precinct No. 1",Mack Marshall,1,114,115,125
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,County Chairman,Elizabeth McDowell,1,105,106,111
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 1,Yes,1,99,100,106
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 1,No,0,19,19,20
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 2,Yes,1,88,89,102
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 2,No,0,28,28,23
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 3,Yes,1,102,103,109
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 3,No,0,10,10,13
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 4,Yes,1,107,108,116
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 4,No,0,4,4,8
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 5,Yes,0,104,104,104
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 5,No,1,9,10,19
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 6,Yes,1,98,99,109
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 6,No,0,13,13,13
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 7,Yes,1,111,112,120
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 7,No,0,2,2,2
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 8,Yes,1,111,112,114
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 8,No,0,1,1,5
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 9,Yes,1,102,103,113
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 9,No,0,11,11,10
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 10,Yes,1,111,112,109
Wheeler County,3/3/2020,Primary ,,,3 - REP,541,Proposition 10,No,0,2,2,9
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,President,Zoltan G. Istvan,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,President,Matthew John Matern,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,President,Donald J. Trump,0,19,19,59
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,President,Bill Weld,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,President,Bob Ely,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,President,Joe Walsh,0,0,0,1
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,President,"Roque ""Rocky"" De La Fuente Guerra",0,0,0,0
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,President,Uncommitted,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,United States Senator,Virgil Bierschwale,0,0,0,2
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,United States Senator,John Anthony Castro,0,0,0,3
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,United States Senator,Mark Yancey,0,4,4,4
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,United States Senator,Dwayne Stovall,0,5,5,15
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,United States Senator,John Cornyn,0,10,10,28
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,"United States Representative, District No. 13",Matt McArthur,0,2,2,1
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,"United States Representative, District No. 13",Josh Winegarner,0,10,10,32
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,"United States Representative, District No. 13",Chris Ekstrom,0,2,2,3
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,"United States Representative, District No. 13",Vance Snider II,0,1,1,7
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,"United States Representative, District No. 13",Monique Worthy,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,"United States Representative, District No. 13",Mark Neese,0,0,0,1
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,"United States Representative, District No. 13",Asusena Reséndiz,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,"United States Representative, District No. 13",Ronny Jackson,0,0,0,7
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,"United States Representative, District No. 13",Diane Knowlton,0,0,0,0
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,"United States Representative, District No. 13",Richard Herman,0,0,0,1
Wheeler County,3/3/2020,Primary ,,,4 - REP,176,"United States Representative, District No. 13",Lee Harvey,0,0,0,0
